Recording ID,Recording ISRC,Party ID,Party Full Name,Party Role
394151002,USA291067802,394150989,Pierecardin,Contributor
1446007440,DEN961202020,163916,Tori Amos,Contributor
581751338,LBA081107126,733870003,حاتم العراقي,Contributor
1464969788,USCA20401676,260976,Dinah Shore,Contributor
1045019937,DEHC20716258,2038168,Jules Verne,Composer
862463363,CAM8B1400010,862463359,WK Music Productions,Contributor
1473982474,USTC30791361,259831218,Clubland,Contributor
916696213,FR6V82247297,588222739,Highest Sound Levels,Contributor
1479582871,DELM41902011,503760706,Santos Devana,Contributor
1443828826,ATN260000909,47338107,Dargaard,Contributor
1271029976,ITCL91100315,1271029977,Musikkapelle Welschnofen,Contributor
1587583761,QZS632154346,1587582951,Izmeiah Brown,Contributor
1440791236,PLUM71800851,1211689185,My3,Contributor
254281070,US2Y30711176,254280795,Cornel-Trio,Contributor
1601459457,ITZ071913025,1460721366,The Subtled Body,Contributor
567070196,ITG411200044,563101834,Gold 1,Contributor
1642879093,BRQT61000004,364889152,Luthier,Contributor
1564972500,ITZ071913025,1460721366,The Subtled Body,Contributor
1251197858,DEFR71601403,1195823371,Kindred Spirits [GER],Contributor
1304432430,GBAYC9003684,4720761,Gewandhausorchester,Contributor
588954078,ES98I1204304,588954069,Juanfra Sanchez,Contributor
525379053,DEF831107004,525378747,Fabulous Four Band,Contributor
385756609,USHM81009405,390853163,Bo Harris,Contributor
1462990958,QZES81994868,1462924458,G-Flav,Contributor
1621487470,ITZ071913025,1460721366,The Subtled Body,Contributor
1446744645,DEN961202020,163916,Tori Amos,Contributor
1517331075,DELM41902011,503760706,Santos Devana,Contributor
1438676674,FR96X1857015,1336259178,Ezzar,Contributor
1588123926,SE6G52100103,259831218,Clubland,Contributor
1626911803,UKNPA2000124,1458614919,The London Musical Theatre Orchestra,Contributor
1637320873,QZS642268153,1601646812,AASKE,Contributor
1620019837,NOAPC1116097,1620019842,Hari Shankar Chaudhary,Contributor
307626121,USSM10500457,654568,The Raveonettes,Contributor
1554411628,TCJPN2195952,1398663741,ALL BGM CHANNEL,Contributor
1494035465,USF095700210,117272,Oscar Peterson Trio,Contributor
1018988942,USDY41530799,266744641,JFX,Contributor
1625405313,FR6V81297731,1625405066,Ballroom Kings,Contributor
1657751725,GBX721900378,1458908754,Winnie Raeder,Contributor
1442452935,NLA306600152,317264078,Q65,Contributor
831202905,QMDA71464946,351097366,Leon Lishner,Contributor
1485780403,ITDF41300049,441911933,Gemitaiz,Contributor
1509413948,JPS801945017,251907123,Sun Ra & His Omniverse Arkestra,Contributor
1501229274,SE5752002640,975606151,Lil P.P.,Contributor
1622864240,QM6MZ2207270,332919754,Cem Yılmaz,ComposerAuthor
1344815656,BED901430002,1600286802,Rebel,Contributor
