Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
I7930L,T0607172495,586841,,AMCOS (AUSTRALASIAN MECHANICAL COPYRIGHT OWNERS SOCIETY),OriginalPublisher
O4448T,,587271,161970171,BLUEWATER MUSIC CORP.,RightsAdministrator
KF5HDW,T9098752148,587899,,HDS HRVATSKO DRUSTVO SKLADATELJA,OriginalPublisher
LA1TK8,T9090980759,587899,,HDS HRVATSKO DRUSTVO SKLADATELJA,OriginalPublisher
TD8NGB,T9179292569,611714,,MESAM,OriginalPublisher
VB0K5R,T0399417389,6376700,701365772,FREDERICO FERNANDO MACHADO DE MORAES,ComposerLyricist
W67290,,646782,,BUCKWHEAT MUSIC,OriginalPublisher
RV85L3,,649509,722300987,BMG BUMBLEBEE,RightsAdministrator
H2044Q,T7000230786,6283504,197452435,LEON RENE FAMILY PARTNERSHIP,OriginalPublisher
FE3X4D,,5969821,,MRAC MUSIC,OriginalPublisher
B2810E,,619898,343892736,UNIVERSAL - POLYGRAM INTERNATIONAL PUB INC,RightsAdministrator
L3808I,T0718923706,598709,31312147,UNIVERSAL MUSIC CORP.,OriginalPublisher
AV8SX4,,631707,223437493,EMI BLACKWOOD MUSIC INC,RightsAdministrator
TVFGSQ,T9271946011,6366109,499483877,S-N MUZIK YAPIM ORGANIZASYON SANAYI VE TICARET ANONIM SIRKETI,OriginalPublisher
AVCN75,T9225030820,598709,31312147,UNIVERSAL MUSIC CORP.,RightsAdministrator
A73610,T0729577290,598709,31312147,UNIVERSAL MUSIC CORP.,OriginalPublisher
RB3CQQ,,6353512,1135593750,CL9 PUBLISHING,OriginalPublisher
KE4E5V,T9215467804,6141506,464890126,TARVO VALM,Arranger
TVG7Z8,,616852,186762429,MEGATRAX MUSIC,OriginalPublisher
EA20K6,T9325470073,6172281,757197203,PRODUTORA C1C2 CONSULTORIA EM GESTAO EMPRESARIAL LTDA ME,OriginalPublisher
L3240P,,628988,744673419,BMG MONARCH,RightsAdministrator
I5509N,,628988,744673419,BMG MONARCH,RightsAdministrator
AV8SX4,,610959,128633767,EMI APRIL MUSIC INC,RightsAdministrator
TVDVO6,,6362317,,A MARSH,ComposerLyricist
M2485X,T3064018339,655946,463672536,MR. GRANDBERRY O'S MUSIC,OriginalPublisher
B2810E,,670210,626489417,ROCK MUSIC PUBL. CO. LTD.,OriginalPublisher
PA17HN,,671431,54805088,EMI MUSIC PUB (SOUTH AFRICA) P,OriginalPublisher
T1178V,T9047100947,656595,481784519,BRIDGE BUILDING MUSIC,OriginalPublisher
NV81EM,,669013,574052259,SONY MUSIC PUBLISH. SRL ITALY,OriginalPublisher
MVAYXV,T9293554902,651283,,WARNER CHAPPELL MUSIC KOREA,OriginalPublisher
I13302,,656871,,HOOKMO MUSIC,OriginalPublisher
E4889R,T9068342234,615191,353271280,"SONGS OF UNIVERSAL, INC.",RightsAdministrator
MB85BL,T0504206567,5967131,8016031,HENRI DES,ComposerLyricist
BA79WR,T9289037361,6044292,1118373176,ASTRID TIMMERMANN LYSGAARD,Composer
VB935N,T9193327569,6047565,290047184,HENRIK ROSENMEYER PAULSEN,ComposerLyricist
WB3Y1C,T3081401512,5984836,721051593,IRASCIBLE SARL,OriginalPublisher
LVAJQM,,610959,128633767,EMI APRIL MUSIC INC,RightsAdministrator
RB1P1R,T9048624948,5967460,177537241,JEAN ZUBER,Arranger
