Recording ID,ISRC,Track Title,Release Date,Pline,Cline,Duration,Preview Link,Apple Link,Apple Composer,Available Stores,YouTube URL
6007429,USA370359383,Fly Away,2004-04-23,2000 Jordantown Records,℗ 2000 Jordantown Records,270640,https://audio-ssl.itunes.apple.com/itunes-assets/Music/f1/49/11/mzm.ubqpsnbs.aac.p.m4a,https://music.apple.com/album/fly-away/6007447?i=6007429&uo=5,,youtube; spotify; amazonmusic; melodyvr; gtl; applemusic; tidal; livexlive,https://www.youtube.com/watch?v=A608889120915584; https://www.youtube.com/watch?v=hFxzKgru2Lk
1292591052,ITR551413784,Homenaje (for Guitar and Piano),2017-10-04,2014 SINFONICA,℗ 2014 SINFONICA,582120,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/9b/75/29/9b7529a6-3aa7-3044-fa45-6d8ab95714af/mzaf_1552960316684072151.plus.aac.p.m4a,https://music.apple.com/album/homenaje-for-guitar-and-piano/1292590150?i=1292591052&uo=5,,applemusic; pandora; spotify; iheartradio; melodyvr; deezer; qobuz; tidal; googleplay; amazonmusic,
1554411628,TCJPN2195952,ASMR - 双子のバトルSな妹 VS ヤンデレ妹のお兄ちゃんへの耳かき対決!_pt14 (feat. グミキャンディーASMR),2021-02-19,,℗ 2021 ALL BGM CHANNEL,86293,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/02/fe/5d/02fe5dae-c0a1-e8ca-adb5-0298a172b98a/mzaf_13740401218770721251.plus.aac.p.m4a,https://music.apple.com/album/asmr-%E5%8F%8C%E5%AD%90%E3%81%AE%E3%83%90%E3%83%88%E3%83%ABs%E3%81%AA%E5%A6%B9-vs-%E3%83%A4%E3%83%B3%E3%83%87%E3%83%AC%E5%A6%B9%E3%81%AE%E3%81%8A%E5%85%84%E3%81%A1%E3%82%83%E3%82%93%E3%81%B8%E3%81%AE%E8%80%B3%E3%81%8B%E3%81%8D%E5%AF%BE%E6%B1%BA-pt14-feat-%E3%82%B0%E3%83%9F%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%87%E3%82%A3%E3%83%BCasmr/1554411219?i=1554411628&uo=5,,applemusic; amazonmusic,
307422129,GBRDV0900095,This Is Crisis,2009-03-05,2009 A Wolf At Your Door Records,℗ 2009 A Wolf At Your Door Records,265880,https://audio-ssl.itunes.apple.com/itunes-assets/Music/81/86/92/mzm.gtedvphs.aac.p.m4a,https://music.apple.com/album/this-is-crisis/307422108?i=307422129&uo=5,,amazonmusic; googleplay; qobuz; gtl; spotify; youtube; applemusic; tidal,https://www.youtube.com/watch?v=QXSotEzp1ic
1655446834,QZTB22226831,Moonlight,2022-11-19,2022 2130794 Records DK,℗ 2022 2130794 Records DK,185809,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/51/00/4a/51004a39-4194-fe2e-17b4-c3324fba7ae7/mzaf_12899341585553095440.plus.aac.p.m4a,https://music.apple.com/album/moonlight/1655446823?i=1655446834&uo=5,,,
1445385841,USQY51450358,Move Mountains,2018-12-03,2014 Cahban Records,℗ 2014 Cahban Records,194010,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/2b/48/bf/2b48bfb3-bd0c-bb99-93a8-4a497f1576d3/mzaf_17900949439542395309.plus.aac.p.m4a,https://music.apple.com/album/move-mountains/1445385837?i=1445385841&uo=5,,pandora; soundcloud; livexlive; tidal; melodyvr; iheartradio; pacemaker; googleplay; youtube; spotify; deezer; trebel; applemusic; amazonmusic,https://www.youtube.com/watch?v=XOoxx35aFIM
1455333259,USCGJ1917761,Jesus Lover,2019-03-06,2019 Ronald Nard,℗ 2019 Ronald Nard,229813,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/bd/12/50/bd1250e8-4133-6a5d-3ac6-5ab41862baf7/mzaf_4100017816190817836.plus.aac.p.m4a,https://music.apple.com/album/jesus-lover/1455333243?i=1455333259&uo=5,,melodyvr; pandora; googleplay; applemusic; spotify; youtube; amazonmusic; tidal,https://www.youtube.com/watch?v=A236680717278585; https://www.youtube.com/watch?v=SsFkNMMyB3g
1628767911,NLCK42215680,54 Road,2022-06-09,,℗ 2022 Planet Rhythm,339741,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/83/5f/fd/835ffde5-32d0-3d86-cfbe-a7f5d25fbe38/mzaf_14727728601745855905.plus.aac.p.m4a,https://music.apple.com/album/54-road/1628767910?i=1628767911&uo=5,,applemusic; spotify; beatport; youtube; soundcloud,https://www.youtube.com/watch?v=W-UYBoX_6C0
286917069,USA560711269,Woohoo!!,2008-08-01,2004 Re:Live,℗ 2004 Re:Live,264867,https://audio-ssl.itunes.apple.com/itunes-assets/Music/26/53/fc/mzm.euwdlaqs.aac.p.m4a,https://music.apple.com/album/woohoo/286916791?i=286917069&uo=5,,youtube; applemusic; amazonmusic; gtl; googleplay; deezer,https://www.youtube.com/watch?v=A766675511473975
1647234556,BEC462217868,Ik Pluk een Ster voor Jou,2022-09-27,2022 D & V,℗ 2022 D & V,"210,427",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/ef/eb/74/efeb74be-9fb9-376e-113e-7b7ea7b31650/mzaf_6483182481341360852.plus.aac.p.m4a,https://music.apple.com/album/ik-pluk-een-ster-voor-jou/1647234387?i=1647234556&uo=5,,youtube,https://www.youtube.com/watch?v=wCBpiy42pHE
