Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
KF5HDW,T9098752148,587899,,HDS HRVATSKO DRUSTVO SKLADATELJA,OriginalPublisher
VB0K5R,T0399417389,6376700,701365772,FREDERICO FERNANDO MACHADO DE MORAES,ComposerLyricist
W67290,,646782,,BUCKWHEAT MUSIC,OriginalPublisher
H2044Q,T7000230786,6283504,197452435,LEON RENE FAMILY PARTNERSHIP,OriginalPublisher
L3240P,,628988,744673419,BMG MONARCH,RightsAdministrator
MVAYXV,T9293554902,651283,,WARNER CHAPPELL MUSIC KOREA,OriginalPublisher
LVAJQM,,610959,128633767,EMI APRIL MUSIC INC,RightsAdministrator
MVAYXV,T9293554902,2183569,285054166,YANG JAE-SUN,Lyricist
L5136S,T0114186876,716372,503659557,KOBALT MUSIC PUB AMERICA INC,OriginalPublisher
N29864,,727264,,SUPER CASSETTES,OriginalPublisher
O26732,,727264,,SUPER CASSETTES,OriginalPublisher
X8133R,T0023938626,955072,543990133,DANIEL MIKAEL CAESAR,ComposerLyricist
SVEVXM,T8039658942,910353,339668123,ROYNET MUSIC,OriginalPublisher
MV9HTC,,920093,229993322,"WIXEN MUSIC PUBLISHING, INC.",RightsAdministrator
I19488,T0714971615,801847,342772265,IT_S TEA TYME MUSIC,OriginalPublisher
B7788J,,856600,216877642,YOMIURI-TV ENTERPRISE,OriginalPublisher
SVEVXM,T8039658942,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
X19932,,933808,,MEDIAN MUSIC,OriginalPublisher
S2875N,,1170581,120681014,ARTHUR J LABRIOLA,Composer
SVEVXM,T8039658942,825613,,ONE MAN BAND PUB BRUCE HAMMOND,OriginalPublisher
AC14EV,,982223,588411031,MATTHEW NEWMAN DUNNE,ComposerLyricist
C8695W,,931954,,BONSAI MUSIC,OriginalPublisher
DB19DT,,971959,421471687,MISHKA BEAST,OriginalPublisher
LVAJQM,,941222,,TELEVISA MUSIC PUB S.A. DE C.V,OriginalPublisher
LV7H1V,,752653,601191692,BMG GOLD SONGS,RightsAdministrator
VV7MR6,T9093105807,922070,697403510,CD BABY ALPHA,RightsAdministrator
PVBJ47,,934619,,SOIL OF ULTIMATE LIGHT MUSIC S,OriginalPublisher
D4191E,T0117036971,1163429,455399615,TRISTIN NORWELL,Composer
VV7MR6,T9093105807,1191242,129514869,KAREN ROBIN BRENNAN,Composer
JV7AQI,,1297034,,RORY EDWARD GILLIGAN,Composer
MV9HTC,,1697119,,JEFFREY ZWARA,Composer
H2413E,T0006146662,103975,265196545,BALE'WA M MUHAMMAD,ComposerLyricist
KF5HDW,T9098752148,1507304,,BORIS PAPANDOPULO,Composer
GE24UF,T3015353427,2582136,281837051,MEHMET SERIF KAYRAN,Composer
H2413E,T0006146662,340445,260379760,CHRISTIAN LARS KARLSSON,ComposerLyricist
BA4AN8,,2725836,443476156,SONOTON APM,OriginalPublisher
RA5ZMW,T3005234486,2862146,,KAPAGAMA,OriginalPublisher
BVATVS,,3872340,,LUTHIER,ComposerLyricist
MVA0U3,T3058055855,338376,57376652,ROBERT VINCENT JR CHEEVERS,ComposerLyricist
L54778,T9023753539,363632,420164014,DAMIR PRICE,ComposerLyricist
RA8A02,,2743530,,FIGURATA MUSIC GMBH CO KG,OriginalPublisher
L5136S,T0114186876,363812,247942343,NOTTING HILL MUSIC LONDON,OriginalPublisher
AB0JSS,,4607220,668859274,ALIBOTS,OriginalPublisher
PA2Y4D,T9262808195,4106990,658095608,STAX,Composer
C8695W,,2550779,,VINCENT GIRAULT,Composer
PA3PSJ,,4538372,876090115,INTERMEZZI APM,OriginalPublisher
LA9ZQI,T9287420295,433903,335331881,PHILLIP MICHAEL BRIGHT,ComposerLyricist
FVAZOD,,4278643,425037975,BRUNO NEFFIS,Composer
O55412,T9142912503,1753954,56433188,LONNIE LISTON SMITH,Composer
DA272K,T9202896068,1860390,218628069,JERRY L DIXON,ComposerLyricist
HA3PQS,,494750,686920009,PURPLE FOX LIMITED,OriginalPublisher
LV7H1V,,516463,41624703,ARTHUR DOMINIC PHILLIPS,Composer
PVCMNU,,491726,234710001,ALAN PAUL ETT,Composer
AB0JSS,,498345,499092207,ALEXANDER OKUNEV,ComposerLyricist
IC8Z82,T0025738617,5685304,287772313,NIR ADUOSH REHANI,Arranger
H2413E,T0006146662,598710,282802660,UNIVERSAL-POLYGRAM INTL TUNES INC.,RightsAdministrator
I19488,T0714971615,636459,342565270,THAT'S PLUM SONGS,OriginalPublisher
E64686,T0465284858,610959,128633767,EMI APRIL MUSIC INC,SubPublisher
L54778,T9023753539,688015,498578867,"PASHALINA PUBLISHING CO., INC.",OriginalPublisher
K1740Q,,727264,,SUPER CASSETTES,OriginalPublisher
M5859M,,727264,,SUPER CASSETTES,OriginalPublisher
JV7SRN,,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
IV7NQB,,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
O55412,T9142912503,874482,60885073,COSMIC ECHOES PUB CO.,OriginalPublisher
N7073M,T9109442413,937787,696960283,MUSIC OF SCHUBERT,OriginalPublisher
W67290,,930050,,LA DE OLE MUSIC,OriginalPublisher
C8695W,,828456,,UNIVERSAL MUSIC PUBL. SAS.,OriginalPublisher
JV7AQI,,1235760,,KIRK ANDRE BENNETT,ComposerLyricist
AVAXTQ,T9123548618,105283,238491940,WALTER C WILKINS,ComposerLyricist
B7788J,,1730096,,KATSUO OHNO,Composer
K1740Q,,710288,538724724,UNIVERSAL MUSIC-MGB SONGS,RightsAdministrator
G24479,T9068821090,877993,,"FOX FANFARE MUSIC, INC.",OriginalPublisher
X8133R,T0023938626,828469,,UNIVERSAL MUSIC PUBL. AB,OriginalPublisher
BA4ME2,T9230684103,1236045,513822377,ADAM PERI,ComposerLyricist
K1740Q,,1366449,436809928,RAJESH GUPTA,Composer
